t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
4.767,2.4095,0.2892,0.8149,0.2108,0.2875,-2.3590,0.7309,0.3381
4.788,2.4174,0.2915,0.8149,0.2108,0.2901,-2.3682,0.7309,0.3381
4.809,2.4254,0.2938,0.8149,0.2108,0.2924,-2.3760,0.7393,0.3394
4.830,2.4333,0.2961,0.8149,0.2108,0.2949,-2.3850,0.7477,0.3406
4.851,2.4490,0.3007,0.8149,0.2108,0.2973,-2.3939,0.7477,0.3406
4.872,2.4569,0.3030,0.8149,0.2108,0.2988,-2.3997,0.7561,0.3419
4.893,2.4647,0.3053,0.8149,0.2108,0.3023,-2.4122,0.7645,0.3431
4.914,2.4725,0.3075,0.8839,0.1954,0.3046,-2.4210,0.7645,0.3431
4.935,2.4804,0.3098,0.8839,0.1954,0.3070,-2.4297,0.7729,0.3444
4.956,2.4882,0.3120,0.8839,0.1954,0.3095,-2.4362,0.7729,0.3444
4.977,2.5038,0.3165,0.8839,0.1954,0.3118,-2.4448,0.7820,0.3457
4.998,2.5116,0.3187,0.8839,0.1954,0.3142,-2.4535,0.7904,0.3470
5.019,2.5194,0.3209,0.8839,0.1954,0.3162,-2.4609,0.7904,0.3470
5.040,2.5271,0.3232,0.8839,0.1954,0.3186,-2.4695,0.7988,0.3482
5.061,2.5349,0.3254,0.8839,0.1954,0.3209,-2.4769,0.8072,0.3495
5.085,2.5504,0.3300,0.8839,0.1954,0.3243,-2.4891,0.8072,0.3495
5.106,2.5582,0.3323,1.1369,0.0829,0.3263,-2.4964,0.8156,0.3507
5.127,2.5659,0.3345,1.1369,0.0829,0.3287,-2.5049,1.0487,0.2711
5.148,2.5737,0.3369,1.1369,0.0829,0.3311,-2.5133,1.0487,0.2711
5.169,2.5814,0.3392,1.1369,0.0829,0.3328,-2.5188,1.0602,0.2712
5.190,2.5891,0.3415,1.1369,0.0829,0.3353,-2.5272,1.0718,0.2713
5.211,2.6046,0.3463,1.1369,0.0829,0.3377,-2.5355,1.0718,0.2713
5.232,2.6123,0.3487,1.1369,0.0829,0.3399,-2.5427,1.0833,0.2714
5.253,2.6200,0.3512,1.1369,0.0829,0.3426,-2.5538,1.0833,0.2714
5.274,2.6277,0.3537,1.1369,0.0829,0.3452,-2.5621,1.0960,0.2715
5.295,2.6354,0.3562,1.1369,0.0829,0.3464,-2.5657,1.1075,0.2717
5.316,2.6495,0.3610,1.1369,0.0829,0.3502,-2.5775,1.1075,0.2717
5.337,2.6571,0.3637,1.2106,0.0690,0.3530,-2.5858,1.1191,0.2718
5.358,2.6648,0.3664,1.2106,0.0690,0.3589,-2.6013,1.1306,0.2719
5.379,2.6725,0.3692,1.2106,0.0690,0.3614,-2.6085,1.1306,0.2719
5.400,2.6801,0.3720,1.2106,0.0690,0.3644,-2.6168,1.1422,0.2720
5.421,2.6877,0.3748,1.2106,0.0690,0.3674,-2.6252,1.1422,0.2720
5.442,2.7030,0.3805,1.2106,0.0690,0.3700,-2.6323,1.1537,0.2721
5.463,2.7106,0.3835,1.2106,0.0690,0.3762,-2.6472,1.1653,0.2722
5.484,2.7182,0.3864,1.2106,0.0690,0.3793,-2.6556,1.1653,0.2722
